id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
199,POM0177,Kolek Simogham,Syzygium sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,42,15,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3320134,101.218885,52.43,1.92,Belum,-,-,Darlis,5/20/2021 13:45,200000,5533.17,-,Brown (1997),media/1621492223982.jpg,media/1621492246342.jpg,media/1621492264978.jpg,media/1621603965601.jpg,
200,POM0192,Poponiong,Lithocarpus sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,60,23,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3323407,101.2189324,52.6,1.88,Belum,-,-,Risman,5/20/2021 14:40,200000,13641.94,-,Brown (1997),media/1621493725185.jpg,media/1621493739561.jpg,media/1621493761220.jpg,media/1621606025763.jpg,
201,POM0203,Pomponiong,Lithocarpus sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,46,16,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3316064,101.2203342,44.53,2.01,Belum,-,-,Wazar,5/30/2021 10:05,200000,6965.15,-,Brown (1997),media/1622357864962.jpg,media/1622357877004.jpg,media/1622357777883.jpg,media/1622357793095.jpg,
202,POM0204,Ridan,Nephelium mangayi,Pohon Dewasa,icon/mature_tree.svg,Not Defined,41,15,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3313908,101.2203988,30.69,2.03,Belum,-,-,Parman,5/30/2021 13:50,200000,5205.91,-,Brown (1997),media/1622358103325.jpg,media/1622358113198.jpg,media/1622358131844.jpg,media/1622371981939.jpg,
203,POM0205,Balam,Palaquium hexandrum,Pohon Dewasa,icon/mature_tree.svg,Near Threatened,50,25,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3313815,101.220398,37.72,2.03,Belum,-,-,Sahlan,5/30/2021 10:09,200000,8600.97,-,Brown (1997),media/1622358226560.jpg,media/1622358240534.jpg,media/1622358205735.jpg,media/1622372124923.jpg,
204,POM0206,Balam,Palaquium hexandrum,Pohon Dewasa,icon/mature_tree.svg,Near Threatened,50,20,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3313403,101.2204383,40.62,2.04,Belum,-,-,Gusperi,5/30/2021 13:55,200000,8600.97,-,Brown (1997),media/1622358292212.jpg,media/1622358313814.jpg,media/1622358335647.jpg,media/1622372260850.jpg,
205,POM0207,Pomponiong,Lithocarpus sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,49,23,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3313638,101.2204715,40.03,2.04,Belum,-,-,Risman,5/30/2021 11:07,200000,8172.4,-,Brown (1997),media/1622358373290.jpg,media/1622358388665.jpg,media/1622358409767.jpg,media/1622372350330.jpg,
206,POM0208,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,42,15,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.331353,101.2205022,48.58,2.04,Belum,-,-,Wazar,5/30/2021 11:00,200000,5533.17,-,Brown (1997),media/1622358539645.jpg,media/1622358553436.jpg,media/1622358524260.jpg,media/1622372471481.jpg,
207,POM0209,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,42,15,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3313057,101.2205332,42.24,2.05,Belum,-,-,Parman,5/30/2021 11:10,200000,5533.17,-,Brown (1997),media/1622358617483.jpg,media/1622358628477.jpg,media/1622358605574.jpg,media/1622372598121.jpg,
208,POM0210,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,52,18,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3312923,101.2205493,41.92,2.05,Belum,-,-,Darlisman,5/30/2021 11:05,200000,9498.21,-,Brown (1997),media/1622358683105.jpg,media/1622358705512.jpg,media/1622358725932.jpg,media/1622372686971.jpg,
